,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
958,KELLIE GIGNAC MEMORIAL RUN,https://open.spotify.com/playlist/04kfCiTWibcLwzhaFbrgYf,04kfCiTWibcLwzhaFbrgYf,0,76,0,cbpadd16,https://open.spotify.com/user/cbpadd16,76,,False,https://mosaic.scdn.co/640/ab67616d0000b2733d28a829b7a6b57b0700e43fab67616d0000b27343511b8c20112757edddc7baab67616d0000b2735cc589330e3596c853863484ab67616d0000b273740e569362f6f8187f2fbdc2
959,Dad’s Memorial,https://open.spotify.com/playlist/1NvinqeEAOkLz0TbFcbpwG,1NvinqeEAOkLz0TbFcbpwG,1,78,0,Dan Grant,https://open.spotify.com/user/dgrant9,78,,False,https://mosaic.scdn.co/640/ab67616d0000b273407eab7e6414b8782345a4dbab67616d0000b27341be6d9cf0ec0067d095a072ab67616d0000b2736c6610322fc60bfb41481273ab67616d0000b273cdf1be0ff556d169eade4368
960,Memorial 🍻☀️🌈,https://open.spotify.com/playlist/3wPHlP8TxbJnYKVeXTm2xB,3wPHlP8TxbJnYKVeXTm2xB,0,70,0,Emily Mordkovich,https://open.spotify.com/user/1255495228,70,,False,https://mosaic.scdn.co/640/ab67616d0000b2730dafd3fe4c2795f4ffb5a2eaab67616d0000b27314d09c1ad67f2028764ee0f4ab67616d0000b273150d704ba401da31dd3ff91fab67616d0000b273157d6d0762e17e7dc1ad5203
961,Memorial ,https://open.spotify.com/playlist/4wtXqQMOrGRTr3E53SrDW8,4wtXqQMOrGRTr3E53SrDW8,1,467,0,Phil,https://open.spotify.com/user/9nc3nw1h4ha8onkvu9otne7sw,467,,False,https://mosaic.scdn.co/640/ab67616d0000b273320954b8161e5a0179eda9eeab67616d0000b273bf8ec70e3f04cf7d9c147d50ab67616d0000b273c31d3c870a3dbaf7b53186ccab67616d0000b273ee07023115f822012390d2a0
962,Memorial Day,https://open.spotify.com/playlist/6zVjfBWZlZiQ5HIbWLlNlh,6zVjfBWZlZiQ5HIbWLlNlh,0,110,0,Sammy C,https://open.spotify.com/user/f8eh8jqqahexsi17nq1afkxhe,110,,False,https://mosaic.scdn.co/640/ab67616d0000b27323d36bb2f358094e0271c472ab67616d0000b2733efcd243aaa5638f55318f91ab67616d0000b2736ce61113662ecf693b605ee5ab67616d0000b273cf1fee2a55e98e22bf358512
963,MindCanoe Memorial,https://open.spotify.com/playlist/1t850opiGT2bGjRx1zIRaD,1t850opiGT2bGjRx1zIRaD,2,475,0,MindCanoe,https://open.spotify.com/user/csroberts-us,475,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb20f6e47db688ac8456b31907
964,Memorial playlist,https://open.spotify.com/playlist/2TUxy4b1NZRaGqXe0N5ZqM,2TUxy4b1NZRaGqXe0N5ZqM,1,44,0,Hunter,https://open.spotify.com/user/316g4a2fhhh4dkjec67loumo4rlu,44,,False,https://mosaic.scdn.co/640/ab67616d0000b2730085dd4362653ef4c54ebbebab67616d0000b273061849da201f99053bf5e788ab67616d0000b273aff4aef671b2510be7c115b3ab67616d0000b273d03ab2da904d8251a87bbc31
965,Memorial day,https://open.spotify.com/playlist/6vtr2S5SZ3zDyZxKAID4Wo,6vtr2S5SZ3zDyZxKAID4Wo,0,71,0,miketaft58,https://open.spotify.com/user/miketaft58,71,,False,https://mosaic.scdn.co/640/ab67616d0000b27334fea815aa0cb750ce11aa46ab67616d0000b27382d1407ed42d242e5e86bfd6ab67616d0000b273971aa4bcb85508f8cf8ba91dab67616d0000b273dd621caf7254f8f32579c98b
966,Memorial,https://open.spotify.com/playlist/7HGptZcgVV6FtPcrKu91Fe,7HGptZcgVV6FtPcrKu91Fe,1,55,0,nbowden12,https://open.spotify.com/user/nbowden12,55,,False,https://mosaic.scdn.co/640/ab67616d0000b2733c16761584c4015495bdda87ab67616d0000b27378083ea55badd7b5d6209c29ab67616d0000b273858a95c04db9252719f70fffab67616d0000b2738c27ab93b549f313f10fc028
967,Memorial Music,https://open.spotify.com/playlist/6srBCmJ0BV6SMZ0gReMSCI,6srBCmJ0BV6SMZ0gReMSCI,0,40,0,PRogney,https://open.spotify.com/user/44f5lgm5s0umub00vzd1uo3q3,40,,False,https://mosaic.scdn.co/640/ab67616d0000b27339f644f6d862ec7aca268875ab67616d0000b2736a760642a56847027428cb61ab67616d0000b273878e9fd26ec81802c6e40110ab67616d0000b273db8aa6aa83aeaa14763b9bee
