,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
14,D&D - Sad | RPG | Dungeons & Dragons | Death | Mourning,https://open.spotify.com/playlist/7coSrBwX6VlEg6Fiogohum,7coSrBwX6VlEg6Fiogohum,868,193,0,Punk Rock Jenny,https://open.spotify.com/user/simplyjam,193,"Dungeons &amp; Dragons Ambience and Atmosphere backgrounds, role playing music, dnd, d&amp;d, critical role, rpg, tabletop, high fantasy for your intensely heartbreaking moments of mourning, death or sadness. Heartache, Sorrowful melodies, Tragic For Playlist Consideration: @punkrock_jenny on Insta",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbd02d5f6eb9a9d920d401cfea
15,Morning Birds Chirping,https://open.spotify.com/playlist/6oLzJOj7tumvo9jZOXqAbv,6oLzJOj7tumvo9jZOXqAbv,8344,11,0,Jordann Jamisonn,https://open.spotify.com/user/1282439151,11,,False,https://i.scdn.co/image/ab67616d0000b2736fb312eae39212bc47fefc32
16,mourning someone who isn’t dead,https://open.spotify.com/playlist/17eLx3VjbQFgPQGNGGmLh1,17eLx3VjbQFgPQGNGGmLh1,124,82,0,lemon,https://open.spotify.com/user/sarahl555,82,I thought I was gonna get over you like 3 years ago lmao,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbd2f25c3e967d37d8b5511d7d
17,"i can’t save us, my atlantis, we fall :(",https://open.spotify.com/playlist/2Av5pLdrCgdkAawBJY5wcx,2Av5pLdrCgdkAawBJY5wcx,8486,78,0,✰ gio,https://open.spotify.com/user/gigibscl,78,"eddie munson, you’ll always be a hero || two corpses we were (two corpses i saw) by harringtcns (mourningafter) on ao3",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbc4e6d5b0bf1535bee967b52d
18,Piano for Healing ,https://open.spotify.com/playlist/37i9dQZF1DX65caF1CvtIN,37i9dQZF1DX65caF1CvtIN,42656,160,0,Spotify,https://open.spotify.com/user/spotify,160,Quiet piano for hope and acceptance in times of hardship.,False,https://i.scdn.co/image/ab67706f0000000346ce8f7706672adb5a9d0a45
19,Mourning Radio,https://open.spotify.com/playlist/37i9dQZF1E8OcD4cmGYC9X,37i9dQZF1E8OcD4cmGYC9X,249,50,0,Spotify,https://open.spotify.com/user/spotify,50,"With Post Malone, Khalid, Rae Sremmurd, Juice WRLD and more",False,https://seeded-session-images.scdn.co/v2/img/122/secondary/track/3pI3nzi2Y0Iyj1nATDOeQV/en
20,Morning Dove & Birds Singing 3 Hours,https://open.spotify.com/playlist/707ZinSfHt8CE224SSaQRX,707ZinSfHt8CE224SSaQRX,532,1,0,Rosh.ihs,https://open.spotify.com/user/316cr6zeq5w2tgv7jp6tko36ttr4,1,,False,https://i.scdn.co/image/ab6765630000ba8a36b45cec75e32dba75afddaa
21,Grief & Mourning Songs ,https://open.spotify.com/playlist/026hM6esNwVC4sj4rMJkNl,026hM6esNwVC4sj4rMJkNl,360,52,0,Jennifer,https://open.spotify.com/user/12186185771,52,Songs in English &amp; Spanish about losing &#x2F; missing a loved one.   “Tears are the silent language of grief.”,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb5eef49c9fb7f67e981ab7b47
22,pov: you hear that bird you havent heard since 2015,https://open.spotify.com/playlist/5sSCErspQxo6RhOKALsWrV,5sSCErspQxo6RhOKALsWrV,65,10,0,urdadsdilf <3,https://open.spotify.com/user/31luoij7yqm4itms6i75jwcdilqa,10,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbbacc228d9ca4f49b40d0d336
23,Mourning Eve Setlist,https://open.spotify.com/playlist/24p6c0fJQ6xE06uKpRTExC,24p6c0fJQ6xE06uKpRTExC,17,9,0,kickstand,https://open.spotify.com/user/stristan37,9,,False,https://mosaic.scdn.co/640/ab67616d0000b2738e5deeee0d89c76878ccdc14ab67616d0000b273a1b06ef90a1b228c32d7a8cdab67616d0000b273b8dd5926dddebe9c45bc466fab67616d0000b273c91b3ef3776d162b38ba54af
