,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
237,Hope in times of Grief,https://open.spotify.com/playlist/5x5n17qLhrUHPWymBq1dN7,5x5n17qLhrUHPWymBq1dN7,0,121,0,Lidia Bortes,https://open.spotify.com/user/31hw3t4c4th6d3wdsbkfhdn5hnqu,121,,False,https://mosaic.scdn.co/640/ab67616d0000b2730b010a4ea93436d2b6160a99ab67616d0000b27328014d6c90c362a5d44e265bab67616d0000b273ba7c16d8745a1f453e48d98fab67616d0000b273dbe49bf74c0fa121c0449c07
238,Vibe List,https://open.spotify.com/playlist/52aqNtkbGZLfJHeNO5jNpv,52aqNtkbGZLfJHeNO5jNpv,3,1164,0,MO,https://open.spotify.com/user/5ghlz15saxeegqsbe7l1omvah,1164,Good Grief.,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb5718dc2ef1e07feb488c72a7
239,bargaining,https://open.spotify.com/playlist/7wzhNlVYQSR3ai31inHbF7,7wzhNlVYQSR3ai31inHbF7,1,326,0,winwin,https://open.spotify.com/user/ethanptx,326,"The bargaining stage of grief is a stage in which you may try to negotiate with yourself or with a higher power to try to undo the loss, according to the American Psychological Association (APA).",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb6371dc4cd9faf07bf7ab3159
240,Dirge ,https://open.spotify.com/playlist/64qOX7qY4oMwBUVOOyxgu3,64qOX7qY4oMwBUVOOyxgu3,16,778,0,Shyboy,https://open.spotify.com/user/72qrmcjj51qdjdrw4fw5hez5v,778,"A dirge is a somber song or lament expressing mourning or grief, such as would be appropriate for performance at a funeral",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbe1d05b3072eb351c927ae4e7
241,Everything but the kitchen sink,https://open.spotify.com/playlist/4xeSG5Omn2LAkqqBlykwOL,4xeSG5Omn2LAkqqBlykwOL,4,1112,0,Em Hayward,https://open.spotify.com/user/cgpveat71bzn8sb2g8v5shogz,1112,The playlist that will make you go through the 5 stages of grief all at once. ,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb69ac8524a9a74c087fc738c9
242,2024 - Andrew,https://open.spotify.com/playlist/1mKpoClsuNe9ei63UbUW8h,1mKpoClsuNe9ei63UbUW8h,0,96,0,Doctor Corvus,https://open.spotify.com/user/wn8mvowjebxrhqpbeusptmjgi,96,"Some things I&#x27;m bringing into 2024, mostly things I&#x27;ve found. Grief is non-linear. And I will grieve.",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbeb16639d533cdf7a41bbeae1
243,Miguel O'Hara Angst Playlist,https://open.spotify.com/playlist/7GazUtWB5vHznssrKRV3tf,7GazUtWB5vHznssrKRV3tf,38,213,0,⛩x.gremlin_lee.x⛩,https://open.spotify.com/user/226dmdb6z3yd373nolppj6ioq,213,"cw: suicidal thoughts, self hate, self sabotage, holding on to the past, grief, guilt, addiction  (Sad boi hrs fr,fr)",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb18410a110c05475f15f74689
244,I hate this game,https://open.spotify.com/playlist/396Yie0wL39sTcz3w6OZ0I,396Yie0wL39sTcz3w6OZ0I,0,104,0,DANG3RSPID3R,https://open.spotify.com/user/dang3r_spid3r,104,Grief comes in stages,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbc409e2cc5802c065ed23ae1a
245,⠀ 𝐧𝗂𝗀𝗁𝗍s 𝖿ull o𝖿 𝐦𝐞𝐦𝐨𝐫𝐢𝐞𝐬. ,https://open.spotify.com/playlist/29o2XIDJf7ldIGCD7H6k0s,29o2XIDJf7ldIGCD7H6k0s,28,247,0,⠀⠀⠀⠀ 𝒶iden.,https://open.spotify.com/user/31xry54adzdxggkvjdod2ucoqtuq,247,Grief is love&#x27;s souvenir. It&#x27;s our proof that we once loved. Grief is the receipt we wave in the air  that says to the world: Look! Love was once mine. I loved well. Here is my proof that I paid the price.,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb7e1b621a68f826c5c9e679ee
246,"wild, free, dancing to the music of life",https://open.spotify.com/playlist/5nT7leJYRt8dBrnhilAXnU,5nT7leJYRt8dBrnhilAXnU,5,193,0,Tarot,https://open.spotify.com/user/7kxo6ui2wtni1cfhoznzta5cw,193,"i am wild, i am free, dancing in the rain, i feel life on my skin. i feel the constant swirl of love, rage, and grief as my feet pound soundless in movement on earth, and my hands reach the sky. i dance for me, i dance for life.",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb6100394cb87fcb6f76a905ed
