,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
0,Funeral Songs (Modern),https://open.spotify.com/playlist/2QKlCPeYbGl984Ie2D03rY,2QKlCPeYbGl984Ie2D03rY,13063,56,13245492,kirkgoodsell,https://open.spotify.com/user/kirkgoodsell,56,,FALSE,https://mosaic.scdn.co/640/ab67616d0000b27313b3e37318a0c247b550bccdab67616d0000b27386a8ab515de4b7aef28cd631ab67616d0000b273ba5db46f4b838ef6027e6f96ab67616d0000b273ee839403c4aca1a2fe0ca65e
1,MOM'S FUNERAL 💜,https://open.spotify.com/playlist/2zef75GXlLzU9u9OHF5DsT,2zef75GXlLzU9u9OHF5DsT,35,96,23326727,lindskusbel14,https://open.spotify.com/user/lindskusbel14,96,,FALSE,https://mosaic.scdn.co/640/ab67616d0000b27324e1589fb3eab8ae8831f388ab67616d0000b27324e2c3f5a4275b3cc039e8caab67616d0000b2736b3e3357c9192722c1236b49ab67616d0000b273aaf012d56b8c72658da6c45f
2,Happy Songs for Funerals,https://open.spotify.com/playlist/1ARyWZe47dJt2fqapAhfQj,1ARyWZe47dJt2fqapAhfQj,72,29,6471137,Family,https://open.spotify.com/user/babyinddy,29,,FALSE,https://mosaic.scdn.co/640/ab67616d0000b2734ce8b4e42588bf18182a1ad2ab67616d0000b273845a5660b804e5f3e821fbedab67616d0000b2738ce699251f50e7bc401523ccab67616d0000b273d358679de4783983510aa57d
3,Reflection,https://open.spotify.com/playlist/37i9dQZF1DWSZXCWJ6tnaz,37i9dQZF1DWSZXCWJ6tnaz,38840,40,8899464,Spotify,https://open.spotify.com/user/spotify,40,"A safe space for reflecting and remembering. Soft, instrumental music to bring you comfort and strength. ",FALSE,https://i.scdn.co/image/ab67706f00000003d592eaff29575040685c78db
