,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
0,Coping With Loss,https://open.spotify.com/playlist/37i9dQZF1DWVxpHBekDUXK,37i9dQZF1DWVxpHBekDUXK,147902,50,13172242,Spotify,https://open.spotify.com/user/spotify,50,When someone you love becomes a memory... find solace in these songs.,False,https://i.scdn.co/image/ab67706f0000000353bacd4b66b1f2610a1d886b
1,Quiet Sad Mix,https://open.spotify.com/playlist/37i9dQZF1EIgQSl88QXPwP,37i9dQZF1EIgQSl88QXPwP,0,50,10739535,Spotify,https://open.spotify.com/user/spotify,50,Quiet Sad music picked just for you,False,https://seed-mix-image.spotifycdn.com/v6/img/desc/Quiet%20Sad/en/large
2,Songs for grieving/losing loved ones,https://open.spotify.com/playlist/1YCK1vKDgtaySzB0uxTxrA,1YCK1vKDgtaySzB0uxTxrA,2366,98,22327959,H,https://open.spotify.com/user/zgf06ztlycm8q3jthfiuf0m7p,98,I’m sorry for your loss. I hope this playlist will help you find some comfort like it did for me.,False,https://mosaic.scdn.co/640/ab67616d0000b27336e44ac138237ba6fcec622fab67616d0000b273ba5db46f4b838ef6027e6f96ab67616d0000b273bc7ddb77993dd1d8d19c22a2ab67616d0000b273c60473419a4ce96822541181
3,Mourning,https://open.spotify.com/playlist/1bajQBeCG1mWb1TwtjwZp4,1bajQBeCG1mWb1TwtjwZp4,7,169,25322913,lugnut-79,https://open.spotify.com/user/lugnut-79,169,,False,https://mosaic.scdn.co/640/ab67616d0000b27343aafb2edd88b9447f49337dab67616d0000b2737948eec521c67e76cafe30a0ab67616d0000b273861e1ca91df443edf6125bd5ab67616d0000b273b2e38a18955865855eaf8763
4,Mourning Sound Radio,https://open.spotify.com/playlist/37i9dQZF1E8PfgKraZNXwN,37i9dQZF1E8PfgKraZNXwN,251,50,11326872,Spotify,https://open.spotify.com/user/spotify,50,"With Grizzly Bear, Deerhunter, Animal Collective, Panda Bear and more",False,https://seeded-session-images.scdn.co/v2/img/122/secondary/track/0szSOfZVM3G5mWI1ogQjr7/en
5,Morning Birds Chirping,https://open.spotify.com/playlist/6oLzJOj7tumvo9jZOXqAbv,6oLzJOj7tumvo9jZOXqAbv,8467,11,1167314,Jordann Jamisonn,https://open.spotify.com/user/1282439151,11,,False,https://i.scdn.co/image/ab67616d0000b2736fb312eae39212bc47fefc32
